year,locality_id,pland_00_water,pland_01_evergreen_needleleaf,pland_02_evergreen_broadleaf,pland_03_deciduous_needleleaf,pland_04_deciduous_broadleaf,pland_05_mixed_forest,pland_06_closed_shrubland,pland_08_woody_savanna,pland_09_savanna,pland_10_grassland,pland_11_wetland,pland_12_cropland,pland_13_urban,pland_14_mosiac,pland_15_barren,id,elevation_median,elevation_sd
2017,L5971788,0.03225806451612903,0.0967741935483871,0.12903225806451613,0,0.06451612903225806,0,0,0.5161290322580645,0,0.06451612903225806,0.0967741935483871,0,0,0,0,8299,6.378897847619299,2.8934857661299684
2017,L5948175,0.15625,0,0.15625,0,0,0,0,0.1875,0.125,0,0.0625,0,0.3125,0,0,8368,7.4544299348925005,3.8286820496105745
2017,L5999116,0.03225806451612903,0,0,0,0.6129032258064516,0.03225806451612903,0,0.3225806451612903,0,0,0,0,0,0,0,8379,24.91759922945682,5.292238070687584
2017,L6007977,0.1,0,0,0,0.06666666666666667,0,0,0.4666666666666667,0.16666666666666666,0.1,0.1,0,0,0,0,8382,99.58676992847421,4.6998947136854055
2017,L168567,0.0967741935483871,0,0,0,0,0,0,0.25806451612903225,0,0,0.6451612903225806,0,0,0,0,7720,1.274526308054585,0.4737777650587779
2017,L6029221,0.03333333333333333,0,0.03333333333333333,0,0,0.13333333333333333,0,0.3333333333333333,0,0,0.4666666666666667,0,0,0,0,8386,6.994935514836948,4.731699758247408
2017,L6093513,0.03225806451612903,0.03225806451612903,0,0,0.03225806451612903,0.03225806451612903,0,0.2903225806451613,0.22580645161290322,0.16129032258064516,0,0.1935483870967742,0,0,0,8390,68.77445055404145,3.829623074891584
2017,L3157823,0.23333333333333334,0.13333333333333333,0.03333333333333333,0,0,0,0,0.23333333333333334,0.03333333333333333,0,0.3333333333333333,0,0,0,0,7174,3.6935700643826785,3.3222048983461274
2017,L5984962,0.1,0,0,0,0,0.03333333333333333,0,0.16666666666666666,0,0,0.7,0,0,0,0,8604,4.39320350468091,3.503947029111779
2017,L5975261,0.5161290322580645,0,0,0,0,0,0,0.03225806451612903,0.06451612903225806,0,0.3870967741935484,0,0,0,0,8606,1.374589359673545,1.4079620053228294
2017,L1950053,0.3225806451612903,0,0,0,0,0,0,0.06451612903225806,0.0967741935483871,0.03225806451612903,0.41935483870967744,0,0.06451612903225806,0,0,8609,3.3929139739061034,3.6847556910097725
2017,L6018155,0.0967741935483871,0,0,0,0.41935483870967744,0.0967741935483871,0,0.2903225806451613,0,0.03225806451612903,0,0.06451612903225806,0,0,0,8610,29.205841245600496,1.7195833149926754
2017,L5247246,0.03125,0,0,0,0,0,0,0.15625,0.28125,0,0.25,0,0.28125,0,0,7780,4.561422155264424,3.674179939407323
2017,L3035968,0.03125,0,0.03125,0,0.15625,0.03125,0,0.75,0,0,0,0,0,0,0,7212,62.310978751098816,11.492555621048409
2017,L3366229,0.4666666666666667,0,0,0,0,0,0,0.1,0,0,0.1,0,0.3333333333333333,0,0,7401,4.1251500695887575,5.109165919682336
2017,L3961801,0.06451612903225806,0,0,0,0,0,0,0,0.22580645161290322,0,0,0,0.7096774193548387,0,0,7111,9.305754555785251,2.610380829329753
2017,L2994859,0.6,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0.3333333333333333,0,0,7109,0.9901620967906948,1.3194039361582834
2017,L855217,0.28125,0,0,0,0,0,0,0.03125,0.21875,0,0.28125,0,0.1875,0,0,6977,3.8697692625711517,3.0253550987561093
2017,L5955440,0.34375,0,0,0,0,0,0,0.0625,0.125,0,0.34375,0,0.125,0,0,8340,2.4555072111989236,2.3315753455167934
2017,L5964865,0.6774193548387096,0,0,0,0,0,0,0,0,0,0.3225806451612903,0,0,0,0,8633,0.11060285998114777,0.3704248644881376
2017,L5984824,0.5666666666666667,0.03333333333333333,0,0,0,0,0,0.1,0,0,0.3,0,0,0,0,8634,1.9966812510901022,1.6532735559625469
2017,L935876,0.3333333333333333,0,0,0,0,0,0,0.23333333333333334,0.06666666666666667,0,0.26666666666666666,0,0.1,0,0,7085,2.3576234263559988,3.033941272171138
2017,L2217515,0.25,0,0,0,0,0,0,0.21875,0.28125,0,0.09375,0,0.15625,0,0,8515,1.490587239578904,3.346168662346043
2017,L6030308,0.03333333333333333,0,0,0,0.23333333333333334,0,0,0.1,0.16666666666666666,0,0,0,0.4666666666666667,0,0,8637,34.7556974032129,5.458079786701318
2017,L6005509,0.16666666666666666,0,0,0,0,0.06666666666666667,0,0.5666666666666667,0.2,0,0,0,0,0,0,8639,82.30157847778466,4.3470579419951365
2017,L718515,0.3,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,7161,0.6918987438016819,0.4081654642239802
2017,L6771977,0.25806451612903225,0,0,0,0,0,0,0.0967741935483871,0.1935483870967742,0.03225806451612903,0.3548387096774194,0,0.06451612903225806,0,0,8669,5.760944512461036,4.464659796327065
2017,L3715758,0.12903225806451613,0,0,0,0.03225806451612903,0.06451612903225806,0,0.6451612903225806,0.12903225806451613,0,0,0,0,0,0,7707,43.246534564223474,4.015423606087791
2017,L3395279,0.0967741935483871,0,0,0,0,0,0,0.22580645161290322,0.41935483870967744,0,0.12903225806451613,0,0,0.12903225806451613,0,8666,43.97394906608391,3.581157346254989
2017,L5951459,0.1,0,0,0,0,0,0,0.6,0,0.03333333333333333,0.26666666666666666,0,0,0,0,8721,4.754813054458658,3.7803639643986258
2017,L971418,0.625,0,0,0,0,0,0,0.125,0.03125,0.03125,0.1875,0,0,0,0,7843,0,0
2017,L1360458,0.5,0,0,0,0,0,0,0.06666666666666667,0,0.03333333333333333,0.13333333333333333,0,0.26666666666666666,0,0,8228,1.80137978514965,1.9976978548027957
