locality_id,year,pland_08,pland_09,pland_13,pland_02,pland_04,pland_00,pland_11,pland_05,pland_10,pland_01,pland_12,pland_14,pland_15,pland_03,pland_06
L1014840,2015,0.15789473684210525,0.631578947368421,0,0,0,0,0,0,0.21052631578947367,0,0,0,0,0,0
L1014840,2016,0.21052631578947367,0.5263157894736842,0,0,0,0,0,0,0.2631578947368421,0,0,0,0,0,0
L1014840,2017,0.15789473684210525,0.5789473684210527,0,0,0,0,0,0,0.2631578947368421,0,0,0,0,0,0
L1014840,2019,0.2631578947368421,0.5263157894736842,0,0,0,0,0,0,0.21052631578947367,0,0,0,0,0,0
L1014842,2012,0,0.42857142857142855,0,0,0,0,0,0,0.2857142857142857,0,0.2857142857142857,0,0,0,0
L1014842,2013,0,0.42857142857142855,0,0,0,0,0,0,0.2857142857142857,0,0.2857142857142857,0,0,0,0
L1014842,2014,0,0.42857142857142855,0,0,0,0,0,0,0.2857142857142857,0,0.2857142857142857,0,0,0,0
L1014842,2015,0,0.42857142857142855,0,0,0,0,0,0,0.3333333333333333,0,0.23809523809523808,0,0,0,0
L1014842,2017,0,0.2857142857142857,0,0,0,0,0,0,0.42857142857142855,0,0.2857142857142857,0,0,0,0
L1017288,2015,0.8571428571428571,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0
L1017301,2014,0.8571428571428571,0,0,0,0,0.09523809523809523,0.047619047619047616,0,0,0,0,0,0,0,0
L1019226,2014,0.21052631578947367,0,0,0,0,0.47368421052631576,0.3157894736842105,0,0,0,0,0,0,0,0
L1019226,2016,0.21052631578947367,0,0,0,0,0.47368421052631576,0.3157894736842105,0,0,0,0,0,0,0,0
L1019583,2013,0.05263157894736842,0,0.9473684210526315,0,0,0,0,0,0,0,0,0,0,0,0
L1019583,2019,0.05263157894736842,0,0.9473684210526315,0,0,0,0,0,0,0,0,0,0,0,0
L1021022,2013,0.631578947368421,0.15789473684210525,0,0,0.10526315789473684,0,0,0,0.10526315789473684,0,0,0,0,0,0
L1021220,2016,0.8947368421052632,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0
L1021345,2017,0.5263157894736842,0.15789473684210525,0.2631578947368421,0,0,0.05263157894736842,0,0,0,0,0,0,0,0,0
L1021399,2011,0,0,0,0.05263157894736842,0,0.42105263157894735,0.47368421052631576,0,0,0.05263157894736842,0,0,0,0,0
L1021399,2013,0,0,0,0.05263157894736842,0,0.42105263157894735,0.47368421052631576,0,0,0.05263157894736842,0,0,0,0,0
L1021399,2014,0,0,0,0.05263157894736842,0,0.42105263157894735,0.47368421052631576,0,0,0.05263157894736842,0,0,0,0,0
L1021399,2015,0,0,0,0.05263157894736842,0,0.42105263157894735,0.47368421052631576,0,0,0.05263157894736842,0,0,0,0,0
L1021399,2016,0,0,0,0.05263157894736842,0,0.42105263157894735,0.47368421052631576,0,0,0.05263157894736842,0,0,0,0,0
L1021399,2017,0,0,0,0.05263157894736842,0,0.42105263157894735,0.5263157894736842,0,0,0,0,0,0,0,0
L1021399,2018,0,0,0,0.05263157894736842,0,0.42105263157894735,0.5263157894736842,0,0,0,0,0,0,0,0
L1021399,2019,0,0,0,0.05263157894736842,0,0.42105263157894735,0.5263157894736842,0,0,0,0,0,0,0,0
L1021691,2017,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
L1022737,2017,0.9,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0
